START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
08-11-19,1:10 PM,2:10 PM,Rangers at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,8-11-19,8-11-19,4:10 PM,5:10 PM,FALSE,TRUE,8-11-19,12:10 PM,1:10 PM,FREE,BUSY
08-13-19,7:10 PM,8:10 PM,Twins at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-13-19,8-13-19,10:10 PM,11:10 PM,FALSE,TRUE,8-13-19,6:10 PM,7:10 PM,FREE,BUSY
08-14-19,1:10 PM,2:10 PM,Twins at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-14-19,8-14-19,4:10 PM,5:10 PM,FALSE,TRUE,8-14-19,12:10 PM,1:10 PM,FREE,BUSY
08-23-19,7:10 PM,8:10 PM,D-backs at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-23-19,8-23-19,10:10 PM,11:10 PM,FALSE,TRUE,8-23-19,6:10 PM,7:10 PM,FREE,BUSY
08-24-19,6:10 PM,7:10 PM,D-backs at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-24-19,8-24-19,9:10 PM,10:10 PM,FALSE,TRUE,8-24-19,5:10 PM,6:10 PM,FREE,BUSY
08-25-19,1:10 PM,2:10 PM,D-backs at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,8-25-19,8-25-19,4:10 PM,5:10 PM,FALSE,TRUE,8-25-19,12:10 PM,1:10 PM,FREE,BUSY
08-26-19,6:40 PM,7:40 PM,Cardinals at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-26-19,8-26-19,9:40 PM,10:40 PM,FALSE,TRUE,8-26-19,5:40 PM,6:40 PM,FREE,BUSY
08-27-19,6:40 PM,7:40 PM,Cardinals at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-27-19,8-27-19,9:40 PM,10:40 PM,FALSE,TRUE,8-27-19,5:40 PM,6:40 PM,FREE,BUSY
08-28-19,1:10 PM,2:10 PM,Cardinals at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-28-19,8-28-19,4:10 PM,5:10 PM,FALSE,TRUE,8-28-19,12:10 PM,1:10 PM,FREE,BUSY
09-02-19,3:10 PM,4:10 PM,Astros at Brewers,Miller Park - Milwaukee,Local TV: FSWI- ESPN ----- Local Radio: WTMJ 620,9-2-19,9-2-19,6:10 PM,7:10 PM,FALSE,TRUE,9-2-19,2:10 PM,3:10 PM,FREE,BUSY
09-03-19,6:40 PM,7:40 PM,Astros at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-3-19,9-3-19,9:40 PM,10:40 PM,FALSE,TRUE,9-3-19,5:40 PM,6:40 PM,FREE,BUSY
09-05-19,7:10 PM,8:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-5-19,9-5-19,10:10 PM,11:10 PM,FALSE,TRUE,9-5-19,6:10 PM,7:10 PM,FREE,BUSY
